1---“八一”六十载---亲 
2---“七一”直抵花城---库 
3---“十三大”，改革之会，团结之会---奉 
4---“十一”双方皆怀念---喜 
5---“文昭关”选段---音 
6---“五一”厂里放影片---彦 
7---“五一”前夕何宽松---衙 
8---“西出阳关无故人”---笙 
9---“小”字加一撇，不作“少”字猜---赤 
10---《人生》上下集---佧 
11---20-2---槎 
12---３＋８---秸 
13---７８．３---柒 
14---阿里山小吃---饴 
15---爱将余热献光明---熹 
16---爱心几度付流水---沉 
17---爱心寄与笔底情---写 
18---爱友别离又相聚---受 
19---安敢裙钗换男装---宁 
20---安危抛脑后---脆 
21---安下心来读书---今 
22---安心度日---宴 
23---安心平凡工作---恐 
24---安心只为翻了身---总 
25---安阳风光---京 
26---安阳会子---鼹 
27---安阳即景---京 
28---俺大人不在---电 
29---岸---滂 
30---八尺龙头---咫 
31---八尺龙须---荨 
32---八达岭---兵 
33---八方归心---总 
34---八方援助受灾人---熔 
35---八方支援前线---织 
36---八哥---兑 
37---八哥的传说---言 
38---八哥偏心---悦 
39---八哥守门---阅 
40---八哥学舌---说 
41---八卦山之春---根 
42---八角楼旁水相连---淞 
43---八戒大怒---氦 
44---八戒行者随长老---狮 
45---八九不离十---杂 
46---八九不离十---杂 
47---八九点钟的太阳---晨 
48---八君子---羌 
49---八骏随天子---玛 
50---八连战士---丘 
51---八千里峰峦横隔，三十年心系故乡---秉 憧 
52---八千子弟兵---翠 
53---八千子弟兵---翠 
54---八声甘州---箫 
55---八十八---米 
56---八兄弟同赏月　　 ---脱 
57---八一纪念　　 ---艽 
58---八一南昌迎朝阳　　 ---旭 
59---八一起义　　 ---交 
60---八一起义军旗飘　　 ---郊 
61---八一下加二　　 ---兰 
62---八月二十三聚会　　 ---期 
63---八月十五　　 ---钟 
64---八月天气帝王相　　 ---朕 
65---八月珠桥江水流　　 ---腔 
66---八字桥头水平流　　 ---兴 
67---巴山夜雨涨秋池　　 ---洲 
68---巴蜀乡音　　 ---训 
69---跋前序后　　 ---政 
70---霸王自刎　　 ---翠 
71---白帝城　　 ---谅 
72---白帝城　　 ---谅 
73---白帝城　　 ---谅 
74---白帆半挂依疏柳　　 ---棉 
75---白帆一片桅边悬　　 ---棉 
76---白鸡　　 ---酝 
77---白马河边　　 ---浒 
78---白前当归木耳　　 ---香 
79---白日依山尽　　 ---谟 
80---白首逢春又一年　　 ---秽 
81---白首同归　　 ---伺 
82---白首偕老同心结　　 ---恬 
83---白首雄心向未来　　 ---侏 
84---白首一先生　　 ---百 
85---白头，掉尾格　　 ---舌 
86---白头到老记前情　　 ---恬 
87---白头到老一甲子　　 ---辞 
88---白头的我　　 ---矛 
89---白头老干心不老　　 ---忏 
90---白头翁　　 ---讼 
91---白头翁年届古稀　　 ---鸨 
92---白头偕老一直长相安　　 ---佬 
93---白头雄心四化志　　 ---德 
94---白头雄心志不移　　 ---恁 
95---白头雄心志不移　　 ---恁 
96---白头致仕二十载　　 ---荏 
97---白玉无瑕　　 ---皇 
98---白云出岫挂两边　　 ---抽 
99---白云深处僧寺残　　 ---储 
100---百分之九十九　　 ---金 
101---百花头上梅初开　　 ---晦 
102---百姓有盼头　　 ---眠 
103---摆脱困境获生机　　 ---几 
104---办法归纳共五点　　 ---劫 
105---半部《包公案》　　 ---构 
106---半窗残月　　 ---穹 
107---半窗残月有蛩声　　 ---穹 
108---半打啤酒　　 ---河 
